"Date"	"Date"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"Day"	"DOW"	"Hotel"	"On-The-Books"	"Physical Occupancy %"	"Capacity"	"On-The-Books"	"Room ADR"
"2023-01-01"	"Su"	"Welcome Hotel Darmstadt"	26	"12.50%"	208	26	94.47
"2023-01-01"	"Su"	"Best Western Plus Welcome Hotel Frankfurt"	9	"5.20%"	173	9	74.76
"2023-01-01"	"Su"	"Welcome Residenzschloss Bamberg"	125	"67.93%"	184	125	137.89
"2023-01-01"	"Su"	"Welcome Kongresshotel Bamberg"	0	"0.00%"	171	0	0.00
"2023-01-01"	"Su"	"Welcome Hotel Marburg"	13	"8.67%"	150	13	127.93
"2023-01-01"	"Su"	"Welcome Hotel Paderborn"	34	"22.22%"	153	34	77.73
"2023-01-01"	"Su"	"Welcome Hotel Bad Arolsen"	62	"52.10%"	119	62	142.90
"2023-01-01"	"Su"	"Welcome Hotel Meschede / Hennesee"	45	"39.13%"	115	45	96.19
"2023-01-01"	"Su"	"Welcome Hotel Wesel"	22	"21.36%"	103	22	96.81
"2023-01-01"	"Su"	"Welcome Hotel Dorf Munsterland"	117	"89.31%"	131	117	47.93
"2023-01-01"	"Su"	"Welcome Hotel Neckarsulm"	100	"61.73%"	162	100	63.69
"2023-01-01"	"Su"	"Welcome Parkhotel Euskirchen"	26	"28.26%"	92	26	135.26
"2023-01-01"	"Su"	"All"	579	"32.88%"	1761	579	95.83
"2023-01-02"	"Mo"	"Welcome Hotel Darmstadt"	24	"11.54%"	208	24	98.12
"2023-01-02"	"Mo"	"Best Western Plus Welcome Hotel Frankfurt"	11	"6.36%"	173	11	65.57
"2023-01-02"	"Mo"	"Welcome Residenzschloss Bamberg"	36	"19.57%"	184	36	93.95
"2023-01-02"	"Mo"	"Welcome Kongresshotel Bamberg"	0	"0.00%"	171	0	0.00
"2023-01-02"	"Mo"	"Welcome Hotel Marburg"	18	"12.00%"	150	18	125.65
"2023-01-02"	"Mo"	"Welcome Hotel Paderborn"	38	"24.84%"	153	38	75.70
"2023-01-02"	"Mo"	"Welcome Hotel Bad Arolsen"	53	"44.54%"	119	53	93.71
